WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
22;61;01;1;0933016;54737;ul.;100-lecia Związku Harcerstwa Polskiego;;2019-09-18
22;61;01;1;0933016;11205;ul.;Listopada;11;2019-09-18
22;61;01;1;0933016;27457;ul.;Brygady Szczerbca;3;2019-09-18
22;61;01;1;0933016;11937;ul.;Maja;3;2019-09-18
22;61;01;1;0933016;00097;ul.;Achillesa;;2019-09-18
22;61;01;1;0933016;00470;ul.;Asnyka;Adama;2019-09-18
22;61;01;1;0933016;12740;ul.;Mickiewicza;Adama;2019-09-18
22;61;01;1;0933016;04493;ul.;Dygasińskiego;Adolfa;2019-09-18
22;61;01;1;0933016;00134;ul.;Afrodyty;;2019-09-18
22;61;01;1;0933016;00147;ul.;Agrarna;;2019-09-18
22;61;01;1;0933016;00157;ul.;Akacjowa;;2019-09-18
22;61;01;1;0933016;00167;ul.;Aksamitna;;2019-09-18
22;61;01;1;0933016;27024;ul.;Akteona;;2019-09-18
22;61;01;1;0933016;00174;ul.;Akwenowa;;2019-09-18
22;61;01;1;0933016;00183;ul.;Aldony;;2019-09-18
22;61;01;1;0933016;39835;ul.;Aleja Kazimierza Jagiellończyka;;2019-09-18
22;61;01;1;0933016;50734;al.;Aleja Macieja Płażyńskiego;;2019-09-18
22;61;01;1;0933016;43668;ul.;Aleja Vaclava Havla;;2019-09-18
22;61;01;1;0933016;46240;al.;Aleja Żołnierzy Wyklętych;;2019-09-18
22;61;01;1;0933016;31485;ul.;Dulin'a;Aleksandra;2019-09-18
22;61;01;1;0933016;05172;ul.;Fredry;Aleksandra;2019-09-18
22;61;01;1;0933016;06292;ul.;Gryglewskiego;Aleksandra;2019-09-18
22;61;01;1;0933016;11976;ul.;Majkowskiego;Aleksandra;2019-09-18
22;61;01;1;0933016;15178;ul.;Orłowskiego;Aleksandra;2019-09-18
22;61;01;1;0933016;17316;ul.;Potyrały;Aleksandra;2019-09-18
22;61;01;1;0933016;18209;ul.;Puszkina;Aleksandra;2019-09-18
22;61;01;1;0933016;19233;ul.;Rylkego;Aleksandra;2019-09-18
22;61;01;1;0933016;23467;ul.;Volty;Aleksandra;2019-09-18
22;61;01;1;0933016;25996;ul.;Zelwerowicza;Aleksandra;2019-09-18
22;61;01;1;0933016;33819;ul.;Gabrysiak;Aleksandry;2019-09-18
22;61;01;1;0933016;11038;ul.;Liczmańskiego;Alfa;2019-09-18
22;61;01;1;0933016;36826;ul.;Flisykowskiego;Alfonsa;2019-09-18
22;61;01;1;0933016;14291;ul.;Nobla;Alfreda;2019-09-18
22;61;01;1;0933016;40695;ul.;Pienkowskiej;Aliny;2019-09-18
22;61;01;1;0933016;29572;ul.;Bruskiego;Alojzego;2019-09-18
22;61;01;1;0933016;00245;ul.;Altanki;;2019-09-18
22;61;01;1;0933016;00266;ul.;Ametystowa;;2019-09-18
22;61;01;1;0933016;00270;ul.;Amundsena;;2019-09-18
22;61;01;1;0933016;34058;ul.;Wika-Czarnowskiego;Anastazego;2019-09-18
22;61;01;1;0933016;00294;ul.;Andromedy;;2019-09-18
22;61;01;1;0933016;39428;ul.;Grubby;Andrzeja;2019-09-18
22;61;01;1;0933016;34059;ul.;Huenefelda;Andrzeja;2019-09-18
22;61;01;1;0933016;13187;ul.;Modrzewskiego;Andrzeja;2019-09-18
22;61;01;1;0933016;21308;ul.;Struga;Andrzeja;2019-09-18
22;61;01;1;0933016;37195;ul.;Angielska Grobla;;2019-09-18
22;61;01;1;0933016;00341;ul.;Jagiellonki;Anny;2019-09-18
22;61;01;1;0933016;00090;ul.;Abrahama;Antoniego;2019-09-18
22;61;01;1;0933016;00344;ul.;Antczaka;Antoniego;2019-09-18
22;61;01;1;0933016;03959;ul.;Dobrowolskiego;Antoniego;2019-09-18
22;61;01;1;0933016;10818;ul.;Lendziona;Antoniego;2019-09-18
22;61;01;1;0933016;32202;ul.;Madalińskiego;Antoniego;2019-09-18
22;61;01;1;0933016;33184;ul.;Michny;Antoniego;2019-09-18
22;61;01;1;0933016;20269;ul.;Słonimskiego;Antoniego;2019-09-18
22;61;01;1;0933016;21492;ul.;Suchanka;Antoniego;2019-09-18
22;61;01;1;0933016;00368;ul.;Antygony;;2019-09-18
22;61;01;1;0933016;40819;ul.;Dickmana;Arenda;2019-09-18
22;61;01;1;0933016;27025;ul.;Ariadny;;2019-09-18
22;61;01;1;0933016;00410;ul.;Arkońska;;2019-09-18
22;61;01;1;0933016;00428;al.;Armii Krajowej;;2019-09-18
22;61;01;1;0933016;00448;ul.;Aroniowa;;2019-09-18
22;61;01;1;0933016;00452;ul.;Artemidy;;2019-09-18
22;61;01;1;0933016;06206;ul.;Grottgera;Artura;2019-09-18
22;61;01;1;0933016;19605;ul.;Schopenhauera;Artura;2019-09-18
22;61;01;1;0933016;00463;ul.;Asesora;;2019-09-18
22;61;01;1;0933016;00472;ul.;Astronautów;;2019-09-18
22;61;01;1;0933016;00474;ul.;Astronomów;;2019-09-18
22;61;01;1;0933016;00475;ul.;Astrowa;;2019-09-18
22;61;01;1;0933016;00483;ul.;Ateny;;2019-09-18
22;61;01;1;0933016;00493;ul.;Augustowska;;2019-09-18
22;61;01;1;0933016;14067;ul.;Necla;Augustyna;2019-09-18
22;61;01;1;0933016;00518;ul.;Azaliowa;;2019-09-18
22;61;01;1;0933016;00523;ul.;Azymutalna;;2019-09-18
22;61;01;1;0933016;00607;ul.;Bajki;;2019-09-18
22;61;01;1;0933016;00656;ul.;Bałtycka;;2019-09-18
22;61;01;1;0933016;00689;ul.;Banińska;;2019-09-18
22;61;01;1;0933016;29215;ul.;Barkoczyńska;;2019-09-18
22;61;01;1;0933016;00765;ul.;Barniewicka;;2019-09-18
22;61;01;1;0933016;00771;ul.;Barokowa;;2019-09-18
22;61;01;1;0933016;00784;ul.;Bartka;;2019-09-18
22;61;01;1;0933016;00801;ul.;Bartnicza;;2019-09-18
22;61;01;1;0933016;00834;ul.;Barwna;;2019-09-18
22;61;01;1;0933016;00864;ul.;Baśniowa;;2019-09-18
22;61;01;1;0933016;32518;ul.;Bastion św. Elżbiety;;2019-09-18
22;61;01;1;0933016;00861;ul.;Basztowa;;2019-09-18
22;61;01;1;0933016;00868;ul.;Batalionów Chłopskich;;2019-09-18
22;61;01;1;0933016;00925;ul.;Bażantowa;;2019-09-18
22;61;01;1;0933016;00956;ul.;Bednarska;;2019-09-18
22;61;01;1;0933016;29216;ul.;Będomińska;;2019-09-18
22;61;01;1;0933016;00971;ul.;Begoniowa;;2019-09-18
22;61;01;1;0933016;00980;ul.;Belgradzka;;2019-09-18
22;61;01;1;0933016;01042;ul.;Benzynowa;;2019-09-18
22;61;01;1;0933016;01050;ul.;Bereniki;;2019-09-18
22;61;01;1;0933016;02910;ul.;Chrzanowskiego;Bernarda;2019-09-18
22;61;01;1;0933016;12932;ul.;Milewskiego;Bernarda;2019-09-18
22;61;01;1;0933016;12944;ul.;Milskiego;Bernarda;2019-09-18
22;61;01;1;0933016;01103;ul.;Beskidzka;;2019-09-18
22;61;01;1;0933016;01113;ul.;Betoniarzy;;2019-09-18
22;61;01;1;0933016;01132;ul.;Biała;;2019-09-18
22;61;01;1;0933016;01184;ul.;Białostocka;;2019-09-18
22;61;01;1;0933016;01189;ul.;Białowieska;;2019-09-18
22;61;01;1;0933016;01244;ul.;Bielańska;;2019-09-18
22;61;01;1;0933016;01326;ul.;Bieszczadzka;;2019-09-18
22;61;01;1;0933016;44990;ul.;Bieszkowicka;;2019-09-18
22;61;01;1;0933016;01358;ul.;Biologiczna;;2019-09-18
22;61;01;1;0933016;01363;ul.;Biskupia;;2019-09-18
22;61;01;1;0933016;01380;ul.;Bitwy Oliwskiej;;2019-09-18
22;61;01;1;0933016;01383;ul.;Bitwy pod Lenino;;2019-09-18
22;61;01;1;0933016;01391;ul.;Biwakowa;;2019-09-18
22;61;01;1;0933016;15761;ul.;Pascala;Blaise'a;2019-09-18
22;61;01;1;0933016;01458;ul.;Błękitna;;2019-09-18
22;61;01;1;0933016;01413;ul.;Bliska;;2019-09-18
22;61;01;1;0933016;01420;ul.;Bliźniąt;;2019-09-18
22;61;01;1;0933016;42708;ul.;Blizowa;;2019-09-18
22;61;01;1;0933016;01469;ul.;Błońska;;2019-09-18
22;61;01;1;0933016;01430;ul.;Bluszczowa;;2019-09-18
22;61;01;1;0933016;01492;ul.;Bobrowa;;2019-09-18
22;61;01;1;0933016;01528;ul.;Boczna;;2019-09-18
22;61;01;1;0933016;27026;ul.;Kobieli;Bogumiła;2019-09-18
22;61;01;1;0933016;01638;ul.;Bohaterów Getta Warszawskiego;;2019-09-18
22;61;01;1;0933016;01742;ul.;Bolesława Chrobrego;;2019-09-18
22;61;01;1;0933016;01749;ul.;Bolesława Krzywoustego;;2019-09-18
22;61;01;1;0933016;10895;ul.;Leśmiana;Bolesława;2019-09-18
22;61;01;1;0933016;17577;ul.;Prusa;Bolesława;2019-09-18
22;61;01;1;0933016;01835;ul.;Borkowska;;2019-09-18
22;61;01;1;0933016;01874;ul.;Borówkowa;;2019-09-18
22;61;01;1;0933016;01875;ul.;Borska;;2019-09-18
22;61;01;1;0933016;01876;ul.;Borsucza;;2019-09-18
22;61;01;1;0933016;01916;ul.;Bosmańska;;2019-09-18
22;61;01;1;0933016;01920;ul.;Botaniczna;;2019-09-18
22;61;01;1;0933016;41040;ul.;Wronki;bpa Andrzeja;2019-09-18
22;61;01;1;0933016;41027;ul.;Nowickiego;bpa Edmunda;2019-09-18
22;61;01;1;0933016;41036;pl.;O'Rourke;bpa Edwarda;2019-09-18
22;61;01;1;0933016;41030;ul.;Rozrażewskiego;bpa Hieronima;2019-09-18
22;61;01;1;0933016;40526;ul.;Dominika;bpa Konstantyna;2019-09-18
22;61;01;1;0933016;01980;ul.;Lewoniewskich;Braci;2019-09-18
22;61;01;1;0933016;02009;ul.;Bracka;;2019-09-18
22;61;01;1;0933016;02055;ul.;Bratki;;2019-09-18
